,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
3260,G27013305701001,2010-2014,Minnesota,1,15000US271335701001,4,0,0,0,0,0,0,4,0
3261,G27013305701002,2010-2014,Minnesota,2,15000US271335701002,7,0,0,0,0,0,0,6,1
3262,G27013305701003,2010-2014,Minnesota,3,15000US271335701003,14,6,0,0,0,0,0,14,0
3263,G27013305702001,2010-2014,Minnesota,1,15000US271335702001,6,0,0,0,0,0,0,6,0
3264,G27013305702002,2010-2014,Minnesota,2,15000US271335702002,0,0,0,0,0,0,0,0,0
3265,G27013305702003,2010-2014,Minnesota,3,15000US271335702003,5,0,0,0,0,0,0,5,0
3266,G27013305703001,2010-2014,Minnesota,1,15000US271335703001,15,0,0,0,0,1,0,15,1
3267,G27013305703002,2010-2014,Minnesota,2,15000US271335703002,36,0,0,0,0,0,0,36,0
3268,G27013305703003,2010-2014,Minnesota,3,15000US271335703003,15,0,0,0,0,0,0,1,14
3269,G27013509701001,2010-2014,Minnesota,1,15000US271359701001,26,0,0,0,0,0,0,26,0
3270,G27013509701002,2010-2014,Minnesota,2,15000US271359701002,45,0,0,0,0,0,0,45,0
3271,G27013509702001,2010-2014,Minnesota,1,15000US271359702001,20,0,0,0,0,0,0,20,0
3272,G27013509702002,2010-2014,Minnesota,2,15000US271359702002,11,0,0,0,0,0,0,11,0
3273,G27013509703001,2010-2014,Minnesota,1,15000US271359703001,21,0,0,0,0,0,0,21,0
3274,G27013509703002,2010-2014,Minnesota,2,15000US271359703002,4,0,0,0,0,0,0,4,0
3275,G27013509703003,2010-2014,Minnesota,3,15000US271359703003,8,2,0,0,0,0,0,8,0
3276,G27013509703004,2010-2014,Minnesota,4,15000US271359703004,14,5,0,1,0,0,0,14,0
3277,G27013509704001,2010-2014,Minnesota,1,15000US271359704001,7,0,0,0,0,0,1,7,0
3278,G27013509704002,2010-2014,Minnesota,2,15000US271359704002,21,0,0,2,0,0,0,21,0
3279,G27013509704003,2010-2014,Minnesota,3,15000US271359704003,14,0,0,0,0,0,0,14,0
3280,G27013509705001,2010-2014,Minnesota,1,15000US271359705001,21,0,0,0,0,0,0,21,0
3281,G27013509705002,2010-2014,Minnesota,2,15000US271359705002,19,0,0,0,0,0,0,19,0
3282,G27013700001001,2010-2014,Minnesota,1,15000US271370001001,0,0,0,0,0,0,0,0,0
3283,G27013700001002,2010-2014,Minnesota,2,15000US271370001002,43,3,0,0,0,0,0,43,0
3284,G27013700001003,2010-2014,Minnesota,3,15000US271370001003,7,0,0,0,0,0,0,7,0
3285,G27013700001004,2010-2014,Minnesota,4,15000US271370001004,28,0,0,0,0,0,0,28,0
3286,G27013700002001,2010-2014,Minnesota,1,15000US271370002001,0,0,0,0,0,0,0,0,0
3287,G27013700002002,2010-2014,Minnesota,2,15000US271370002002,0,0,0,0,0,0,0,0,0
3288,G27013700002003,2010-2014,Minnesota,3,15000US271370002003,21,0,0,0,0,0,0,21,0
3289,G27013700002004,2010-2014,Minnesota,4,15000US271370002004,10,0,0,0,0,0,0,10,0
3290,G27013700003001,2010-2014,Minnesota,1,15000US271370003001,0,0,0,0,0,0,0,0,0
3291,G27013700003002,2010-2014,Minnesota,2,15000US271370003002,0,0,0,29,0,0,0,0,0
3292,G27013700003003,2010-2014,Minnesota,3,15000US271370003003,10,0,0,0,0,0,0,10,0
3293,G27013700003004,2010-2014,Minnesota,4,15000US271370003004,25,0,0,0,0,0,0,25,0
3294,G27013700003005,2010-2014,Minnesota,5,15000US271370003005,0,0,0,0,0,0,0,0,0
3295,G27013700004001,2010-2014,Minnesota,1,15000US271370004001,0,0,0,0,0,0,0,0,0
3296,G27013700004002,2010-2014,Minnesota,2,15000US271370004002,0,0,0,0,0,0,0,0,0
3297,G27013700004003,2010-2014,Minnesota,3,15000US271370004003,0,0,0,0,0,0,0,0,0
3298,G27013700004004,2010-2014,Minnesota,4,15000US271370004004,0,0,0,0,0,0,0,0,0
3299,G27013700005001,2010-2014,Minnesota,1,15000US271370005001,11,0,0,0,0,0,0,11,0
3300,G27013700005002,2010-2014,Minnesota,2,15000US271370005002,15,0,7,0,0,0,0,15,0
3301,G27013700005003,2010-2014,Minnesota,3,15000US271370005003,0,0,0,0,0,9,10,0,0
3302,G27013700006001,2010-2014,Minnesota,1,15000US271370006001,56,0,0,0,0,0,0,56,0
3303,G27013700006002,2010-2014,Minnesota,2,15000US271370006002,0,0,0,0,0,0,0,0,0
3304,G27013700006003,2010-2014,Minnesota,3,15000US271370006003,0,0,0,0,0,0,0,0,0
3305,G27013700006004,2010-2014,Minnesota,4,15000US271370006004,0,0,0,0,0,0,0,0,0
3306,G27013700006005,2010-2014,Minnesota,5,15000US271370006005,10,0,0,0,0,0,0,10,0
3307,G27013700007001,2010-2014,Minnesota,1,15000US271370007001,7,0,0,0,0,0,0,7,0
